text,anotacja - Filip,anotacja - Kacper,anotacja - Piotr,anotacja - Szymon
"Co za koszmar. Mieli się zająć czyimś dzieckiem i nie dość, że byli pijani to jeszcze wypadek. Mam nadzieję, że maluchowi nic sie nie stało.",negative,negative,negative,negative
Zaraz z Panią Min Jadwiga Emilewicz będę gościem tv WPolsce o patriotyzmie gospodarczym 14.30,neutral,neutral,neutral,neutral
"PE oczywiście będę głosował za wolnością panoramy przeciw popr Cavady , opłaty za zdjęcia obiektów publicznych w sieci niezasadne.",ambiguous,neutral,neutral,neutral
Którym nie do końca się czuję. Ale na piwo do Krakowa zawsze zapraszam!,ambiguous,positive,positive,positive
"W tym przypadku zapewne Sąd Najwyższy by uznał, że ułaskawienie jest możliwe i wskazane",ambiguous,negative,neutral,ambiguous
"Przerwa w posiedzeniu do godz 9, ale dwie komisje pracują dalej.",neutral,neutral,neutral,neutral
"Rząd powinien przekazać dodatkową transzę środków dla samorządów terytorialnych, między innymi przez zwiększenie subwencji ogólnej. #AntykryzysoweMinimum",ambiguous,neutral,neutral,neutral
"Dariusz Kurzawa (PSL): Władysław Kosiniak-Kamysz to najlepszy przywódca, jakiego mieliśmy od lat",positive,ambiguous,positive,positive
"Dziś w Szczecinie pod biurem PiSu zwodowany został DudaProm. Symbol pisowskiej propagandy. Prezydent niespełnionych obietnic #DUDA2020 zawisł nad biurem - odczytano wszystkie niespełnione obietnice. Oczywiście, że nas napadli i poszarpali. Boją się prawdy.",negative,negative,negative,negative
"PiS to mistrzowie szastania publicznymi pieniędzmi... Najpierw 70 mln na wybory, teraz 100 milionów na kwiaty, bo tak trudno było ogłosić zamknięcie cmentarzy kilaka dni wcześniej ? Polscy przesiębiorcy, ogrodnicy, rolnicy nie potrzebują waszej łaski, oczekują normalnego państwa!",negative,negative,negative,negative
"Wybieralni autokraci zawsze stosują ten sam trick: „przecież technicznie rzecz biorąc głosowanie było prawie demokratyczne - suweren wybrał”. Tym szantażują opozycję i ci bezradnie w tym przedstawieniu biorą udział. A głosowanie to nie wybory, dyktat większości to nie demokracja!",negative,negative,negative,negative
"Witamy w świecie upadającego Zachodu, dotkniętego paraliżem liberalizmu, lewicowości i poprawności politycznej. Nie chcemy takiej Polski.",negative,negative,negative,negative
Komunikat Związku Sadowników RP,neutral,neutral,neutral,neutral
Koniec popisów buty i arogancji Fundacji Otwarty Dialog. MSZ podejmie zdecydowane kroki,neutral,negative,ambiguous,negative
Ponad 55 mln zostało przeznaczone na wsparcie klubów sportowych w ramach Rządowego Programu #Klub.,neutral,neutral,neutral,positive
#WinaPiS #DebataPE,negative,negative,ambiguous,negative
Jedną z najskuteczniejszych obecnie metod leczenia chorych na COVID-19 jest podawanie im osocza z przeciwciałami anty-SARS-CoV2. Jest to skuteczny i podstawowy preparat w leczeniu chorych na COVID-19.,neutral,neutral,neutral,neutral
Może ma jakąś piękną przemowę przygotowaną 😊,positive,ambiguous,ambiguous,ambiguous
"Laureaci poprzednich edycji Nagrody Marszałka to ludzie nietuzinkowi. Znakomici twórcy. Kreatorzy kultury. Ludzie z charyzmą, z pasjami. Zapraszam do zgłaszania kandydatów do tegorocznej nagrody. Nabór trwa do 16 lipca. Szczegóły na",positive,positive,positive,positive
Zapraszam do współpracy!,neutral,positive,neutral,positive
"Jurek za to przeprosił. Gdyby o Pany wygadywano takie bzdury, też by Panu puściły nerwy. Ale nie pochwalam mówienia w taki sposób o drugich osobach. I Pan też nie powinien",negative,neutral,negative,ambiguous
Zgadzam sie z min zdrowia ze od wyznawania wiary jest kościół a szpital od leczenia.,neutral,positive,ambiguous,positive
Oczywiście. Portale: oraz YT.,neutral,ambiguous,neutral,neutral
Nowa rzeczywistość całego świata i Europy to wyzwanie dla idei wspólnego dobra.Polska pod prezydenturą Andrzeja Dudy będzie do brym tego wzorcem.,positive,positive,positive,positive
#TydzieńDlaRafała 👍 #Mogilno 💪 Wybory już 12 lipca❗️ #TrzaskowskiTeam #SilnyPrezydentWspólnaPolska #Trzaskowski2020 ✌️🇵🇱,neutral,positive,positive,positive
Niedzielna Loża Radiowa z moim udziałem.,neutral,neutral,neutral,neutral
"Polecam webinar ""Paliwa i motory wzrostu gospodarczego"" - 14 lipca 2020. Warto podjąć intelektualne wyzwanie i zastanowić się nad tym, co ma być paliwem, a co motorem rozwoju gospodarczego Polski 🤔👍",neutral,positive,neutral,positive
Odezwali sie rodzice wiec już Pana posła douczą :),ambiguous,ambiguous,ambiguous,ambiguous
"Dziś razem uroczyście otworzyliśmy obwodnice na trasie Markowszczyzna - Łapy. To bardzo ważna inwestycja dla rozwoju , która nie byłaby możliwa do zrealizowania bez wsparcia z #FunduszeUE w ramach programu #PolskaWschodnia 2014-2020.",positive,neutral,positive,positive
