text,label
"Co za koszmar. Mieli się zająć czyimś dzieckiem i nie dość, że byli pijani to jeszcze wypadek. Mam nadzieję, że maluchowi nic sie nie stało.",negative
Zaraz z Panią Min Jadwiga Emilewicz będę gościem tv WPolsce o patriotyzmie gospodarczym 14.30,neutral
"PE oczywiście będę głosował za wolnością panoramy przeciw popr Cavady , opłaty za zdjęcia obiektów publicznych w sieci niezasadne.",neutral
Którym nie do końca się czuję. Ale na piwo do Krakowa zawsze zapraszam!,positive
"W tym przypadku zapewne Sąd Najwyższy by uznał, że ułaskawienie jest możliwe i wskazane",ambiguous
"Przerwa w posiedzeniu do godz 9, ale dwie komisje pracują dalej.",neutral
"Rząd powinien przekazać dodatkową transzę środków dla samorządów terytorialnych, między innymi przez zwiększenie subwencji ogólnej. #AntykryzysoweMinimum",neutral
"Dariusz Kurzawa (PSL): Władysław Kosiniak-Kamysz to najlepszy przywódca, jakiego mieliśmy od lat",positive
"Dziś w Szczecinie pod biurem PiSu zwodowany został DudaProm. Symbol pisowskiej propagandy. Prezydent niespełnionych obietnic #DUDA2020 zawisł nad biurem - odczytano wszystkie niespełnione obietnice. Oczywiście, że nas napadli i poszarpali. Boją się prawdy.",negative
"PiS to mistrzowie szastania publicznymi pieniędzmi... Najpierw 70 mln na wybory, teraz 100 milionów na kwiaty, bo tak trudno było ogłosić zamknięcie cmentarzy kilaka dni wcześniej ? Polscy przesiębiorcy, ogrodnicy, rolnicy nie potrzebują waszej łaski, oczekują normalnego państwa!",negative
"Wybieralni autokraci zawsze stosują ten sam trick: „przecież technicznie rzecz biorąc głosowanie było prawie demokratyczne - suweren wybrał”. Tym szantażują opozycję i ci bezradnie w tym przedstawieniu biorą udział. A głosowanie to nie wybory, dyktat większości to nie demokracja!",negative
"Witamy w świecie upadającego Zachodu, dotkniętego paraliżem liberalizmu, lewicowości i poprawności politycznej. Nie chcemy takiej Polski.",negative
Komunikat Związku Sadowników RP,neutral
Koniec popisów buty i arogancji Fundacji Otwarty Dialog. MSZ podejmie zdecydowane kroki,positive
Ponad 55 mln zostało przeznaczone na wsparcie klubów sportowych w ramach Rządowego Programu #Klub.,neutral
#WinaPiS #DebataPE,negative
Jedną z najskuteczniejszych obecnie metod leczenia chorych na COVID-19 jest podawanie im osocza z przeciwciałami anty-SARS-CoV2. Jest to skuteczny i podstawowy preparat w leczeniu chorych na COVID-19.,neutral
Może ma jakąś piękną przemowę przygotowaną 😊,ambiguous
"Laureaci poprzednich edycji Nagrody Marszałka to ludzie nietuzinkowi. Znakomici twórcy. Kreatorzy kultury. Ludzie z charyzmą, z pasjami. Zapraszam do zgłaszania kandydatów do tegorocznej nagrody. Nabór trwa do 16 lipca. Szczegóły na",positive
Zapraszam do współpracy!,positive
"Jurek za to przeprosił. Gdyby o Pany wygadywano takie bzdury, też by Panu puściły nerwy. Ale nie pochwalam mówienia w taki sposób o drugich osobach. I Pan też nie powinien",negative
Zgadzam sie z min zdrowia ze od wyznawania wiary jest kościół a szpital od leczenia.,positive
Oczywiście. Portale: oraz YT.,neutral
Nowa rzeczywistość całego świata i Europy to wyzwanie dla idei wspólnego dobra.Polska pod prezydenturą Andrzeja Dudy będzie do brym tego wzorcem.,positive
#TydzieńDlaRafała 👍 #Mogilno 💪 Wybory już 12 lipca❗️ #TrzaskowskiTeam #SilnyPrezydentWspólnaPolska #Trzaskowski2020 ✌️🇵🇱,positive
Niedzielna Loża Radiowa z moim udziałem.,neutral
"Polecam webinar ""Paliwa i motory wzrostu gospodarczego"" - 14 lipca 2020. Warto podjąć intelektualne wyzwanie i zastanowić się nad tym, co ma być paliwem, a co motorem rozwoju gospodarczego Polski 🤔👍",positive
Odezwali sie rodzice wiec już Pana posła douczą :),ambiguous
"Dziś razem uroczyście otworzyliśmy obwodnice na trasie Markowszczyzna - Łapy. To bardzo ważna inwestycja dla rozwoju , która nie byłaby możliwa do zrealizowania bez wsparcia z #FunduszeUE w ramach programu #PolskaWschodnia 2014-2020.",positive
"Szefowa Grupy S&amp;D pisze w liście do Pani von der Leyen, że socjaliści i demokraci nie są jeszcze gotowi przyjąć stanowiska w sprawie wyboru na przewodniczącą Komisji Europejskiej. Grupa oczekuje zajęcia stanowiska w kwestiach poruszonych w liście. W PE zaczyna się ważny tydzień.",neutral
Dziś piękna rocznica.✌️🎆🎇 1️⃣4️⃣lat temu spełniło się marzenie paru pokoleń. 👦👧👩👩👴👵 Weszliśmy do Unii Europejskiej.🇵🇱🇪🇺♥️,positive
Kocham ❤️,positive
"Młodzieżówka , której przedstawiciele odwiedzili dziś moje biuro poselskie w Gnieźnie, ostatecznie przyznała mi rację: niektórzy członkowie Brygady Świętokrzyskiej NSZ współpracowali z Niemcami. Nie zgadzajmy się na fałszowanie historii!",positive
No to pojedziemy do spożywczaka po jakąś petardę i Sylwetsra czas zacząć!,ambiguous
lub czekają na orędzie :),ambiguous
"Z tej wiadomości się bardzo ucieszyłem. Nadbrygadier Adam Konieczny został zastępcą komendanta głównego Państwowej Straży Pożarnej. To dokonały profesjonalista w swoim fachu i świetny, godny zaufania człowiek. Adamie, serdecznie Ci gratuluję i życzę samych sukcesów",positive
Opozycja jakaś niewyraźna. ...,negative
1. UWAGA: Utworzenie Europejskiego Funduszu Walutowego - Komisja Europejska zaproponowała stworzenie w UE nowych instrumentów budżetowych dla strefy euro.,neutral
👉Premier : Podjęliśmy decyzję o odwołaniu wszystkich imprez masowych.,neutral
"Dobrze, że sprawa będzie wyjaśniana, tego to dotyczy. Z problemów się nie cieszę.",ambiguous
"Chętnie poznamy Pana/Pami receptę na to jak „zadbać”, a własne badania zamówimy z ochotą. Jeśli chce mieć Pan/Pani w tym swój udział, serdecznie zachęcamy do odwiedzenia adresu 💛",positive
"Podpisałem decyzję, która rozszerza zakres pomocy udzielanej podmiotom leczniczym przez WOT m. in. w kwestii awaryjnej dostawy energii czy zabezpieczenia teleinformatycznego. Wojsko uruchomi także kolejne mobilne laboratorium, które będzie wykonywać testy na obecność #koronawirus",positive
Konferencja prasowa w Parlamencie Europejskim po wysłuchaniu publicznym w sprawie ustawy represyjnej dotyczącej emerytów mundurowych. #SLD #PrzywrócimyNormalność #ZawszeBliskoLudzi,positive
"Dziękuję z całego serca za te słowa i za wsparcie, na jakie zawsze mogę liczyć! Pozdrawiam serdecznie Panie Zbyszku ❤️",positive
"Jak Czesi mogą mieć Złotów Lichtenstein brąz na Olimpiadzie w narciarstwie, to Polska też ma szanse. Okazuje, że...",positive
"obchodzi okrągłe urodziny, do świętowania których zaprasza wszystkich mieszkańców Stolicy :)",positive
czy fakt że Ukraina nadal utrzymuje embargo na Polską wieprzowinę mieści się w kategorii kompromitacji dyplo..,negative
"O Lubelskim Pakiecie Antykryzysowym, a także o nowym narzędziu przygotowanym przez samorząd województwa dla przedsiębiorców i pracodawców z naszego regionu opowiem w Programie ""To nas dotyczy"".",neutral
"Z liderem #KoalicjaEuropejska i Przewodniczącym Rady Europejskiej na marszu #PolskawEuropie! ✌ Pamiętajcie, 26 maja wybory do Parlamentu Europejskiego! 🇵🇱🇪🇺",positive
Jaka praca taka płaca,ambiguous
BOR nie chroni już kancelarii prezydenta. Strzeże ją prywatna firma. To nie lepiej sprywatyzować BOR?,negative
Tychy w pierwszej dwudziestce rankingu samorzadow Rzeczpospolitej!,positive
"Platforma Obywatelska chce przejąć władzę w Polsce, by nie było słychać o żadnych aferach związanych z politykami tej partii.",negative
szybko do psychiatry,negative
W Pulsie Dnia o Dniu Godnej Pracy i umowach śmieciowych. Początek materiału 05:15.,neutral
Żerowanie i wykorzystywanie przez opozycję osób chorych na raka do bieżącej gry politycznej jest wyjątkowo podłym i nikczemnym zabiegiem. Działania opozycji i sprzyjającym im mediom są całkowicie odhumanizowane i zioną bezdusznością.,negative
Krótko w temacie 😉,positive
"Podkreśliłem w rozmowie Marszałkiem Borusewiczem, że nigdy nie poddam się dyscyplinie partyjnej. Będę dbał o swoją niezależność. #radiocentrum",neutral
"To jednak niesamowite. Lekarz to jednak i polityk jednocześnie. Kpi o doniesieniach o braniu pieniędzy od pacjentów - ""zarzuty zza światów"". POgarda PO.",negative
Smutne to dla nas dni. Jako Naród straciliśmy Wielkiego Patriotę i prawdziwego Męża Stanu. Niech spoczywa w pokoju (*),negative
"Dzięki polityce rządu wieś stała się wreszcie równoprawnym obszarem w polityce państwa - i w gospodarczej, i w społecznej.",positive
"Dziękuję Wam, kochani ❤",positive
jest uosobieniem idei Trójmorza. Idei dzięki której zdobywamy zaufanie naszych partnerów z regionu i jesteśmy reprezentantem interesów tej części Europy. #Duda2020 #Trójmorze,positive
"Dziękuję wszystkim, którzy odwiedzili mojego bloga i dokonali wpisów na forum, a muszę przyznać, że było ich sporo",positive
Zawsze zależało na zastraszeniu.,negative
"Gala Sportowiec Roku I miejsce Paweł Fajdek KS Agros Zamość👏👏, II miejsce Aleksandra Mirosław KW Kotłownia👏 III miejsce Wiktor Lampart 👏Gratulacje dla wszyatkich lauratów 👏👏",positive
"To od wielu już lat miasto zarządzane przez lewicę, więc zapraszam, jest dobra atmosfera!",positive
Wierutna bzdura! Proszę zajrzeć do sali 14 w budynku G. #dalejpracujemy #blokadaTK,negative
❗️Zakończyliśmy głosowania nad poprawkami do ustawy o szczegółowych zasadach organizacji wyborów Prezydenta RP. Teraz ustawa trafi na biurko Pana Prezydenta. Czas obstrukcji senackiej wreszcie dobiegł końca☝️👏 ”Wybory hybrydowe” coraz bliżej🗳✉️ ✌️,positive
"#TarczaAntykryzysowa chroni wszystkich, nikogo nie pozostawiamy bez pomocy: ani organizacji pozarządowych, ani osób samozatrudnionych, dużych przedsiębiorstw ani małych firm #Krosno #RówneTraktowanie",positive
Dziś wybory do Izb rolniczych idźcie głosować ❎ to ważne,positive
