text,anotacja - Filip,anotacja - Kacper,anotacja - Piotr,anotacja - Szymon
"Św. Jan Paweł II Wielki. Co to tak naprawdę będzie znaczyć dla Polaków? Czy Jego nauczanie trafi do naszych serc i umysłów? Ja wierzę, a Ty?",positive,positive,positive,ambiguous
"Urząd Gminy Wartkowice - Aktualności - ,,Plony naszej Ziemi˝",neutral,neutral,neutral,neutral
Dzień dobry #Wrocław 😀 ... w drodze wesołym #DudaBus 🚌 do #Milicz 😎 do zobaczenia! #NaszDuda #JarosławDuda #KoalicjaEuropejska 🇵🇱🇪🇺,positive,positive,positive,positive
Chyba wspólnie z korwinem wąchali te skarpetki bo odlecieli.,negative,negative,negative,negative
#Hejtminiegra Cały sercem wspieram akcję Jurek Owsiak i WOŚP! Musimy mówić głośne nie hejtowi i mowie nienawiści!,positive,positive,positive,positive
O 16.00 będę gościem Telewizji #Polsatnews. Zapraszam do oglądania,positive,positive,neutral,neutral
"Warto pamiętać także o żydowskich mieszkańcach naszych ziem, także w kontekście bieżącej polityki historycznej. Nie zapominajmy o tym, że również Polacy byli ofiarami zarówno komunizmu, jak i niemieckiego nazizmu.",neutral,neutral,neutral,positive
"Andrzej Duda: Chciałbym, by został wybrany rząd, który podejmie dzieło naprawy Polski. ""Nie jest...",positive,neutral,neutral,positive
"ten festiwal rozpoczął się w momencie powołania IPN, jednostki na specjalnych prawach i uprzywilejowanej finansowo :(",negative,negative,negative,negative
Witam wszystkich !!! Zapraszam do komentowania mojego Twittera i na stronę :,positive,positive,neutral,neutral
Od soboty 13 czerwca będzie można swobodnie podróżować i przekraczać granice wewnętrzne Unii Europejskiej. Więcej ➡,neutral,neutral,neutral,neutral
Weekend nie zwalnia z prezydenckich obowiązków. Ten jest jednak wyjątkowo przyjemny😊. 100 lat Młodej Parze👰🤵!,positive,positive,positive,positive
"Sytuacja Cypru potwierdza, że tzw. ""zielone wyspy"" to farbowane lisy. A miało być tak pięknie...",negative,negative,negative,negative
"Uchwały poszczególnych sądów to krok chroniący obywateli przed prawnym chaosem jaki mogłoby wywołać powoływanie kolejnych sędziów przez upolitycznioną KRS. Już teraz jest takich sędziów ok. pół tysiąca, wydali oni ponad 70 000 wyroków. Chaos prawny z winy polityków PiS narasta..",negative,ambiguous,negative,negative
"i nowe taxi na Podkarpacie? Czy jednak nówka nie śmigana 'fura""dla ?",ambiguous,ambiguous,negative,negative
"Opozycja totalna zamierza rozkręcać na cały Świat akcję na temat ""odradzającego się w Polsce faszyzmu"". Szykowane są konferencje prasowe i projekty uchwał. Albo są tak głupi, że z nienawiści do PiS niszczą własną Ojczyznę albo wprost są narzędziami obcych państw na terenie RP.",negative,negative,negative,negative
"🎥 Wspólna konferencja prasowa z Wicepremier , Ministrem , Wiceministrem , Prezesem G. Uścińską oraz Prezesem R. Andrzejczykiem w dotycząca #BonTurystyczny. 🇵🇱 Razem działamy dla dobra polskich rodzin. 👨‍👩‍👧‍👦",positive,positive,positive,positive
I to była koszykówka 🏀,ambiguous,positive,positive,positive
"#SprawaPolek Jeśli ktoś nie pamięta, to dla przypomnienia...",ambiguous,negative,ambiguous,ambiguous
#PiS tworzy nam państwo wyznaniowe!!! #ZamachLipcowy #PiSniszczyPL Zapisy w projekcie ustawy zniszczą #WolnaPolska #WolniPolacy,negative,negative,negative,negative
Każdy odpowiada za siebie. Czasem przyda się trochę autocenzury i chwila zastanowienia zanim coś się wrzuci w obieg publ. i wywoła aferę 2/2,ambiguous,negative,negative,negative
"Już za dwa dni zaczniemy szkolenie #NarodowyLider. Będziemy prowadzić formację ideową, organizacyjną i praktyczną przydatną w działalności struktur lokalnych. Będą reprezentanci 12 województw. Przygotowujemy #RuchNarodowy bo widać, że jesteśmy potrzebni i będziemy coraz bardziej.",positive,positive,positive,positive
"Na jednej burcie napis jest po polsku (od wejścia), na drugiej stronie po angielsku. Jest to wzór stosowany na świecie.",neutral,neutral,neutral,neutral
Wideokonferencja z przedstawicielami wojewódzkich urzędów pracy. #TarczaAntykryzysowa #MRPiPS,neutral,neutral,neutral,neutral
Czy wszyscy odpoczęli po weekendzie?,ambiguous,neutral,positive,neutral
Nasza mocna drużyna #KoalicjaEuropejska #WielkiWybór,positive,positive,positive,positive
:-),positive,ambiguous,positive,positive
"O godz. 21:40 będę gościem programu ""Polski Punkt Widzenia"" na antenie . Zachęcam do oglądania!",positive,positive,positive,neutral
"Uff...jeszcze rok i Z.Ziobro będzie na szczęście już tylko BYŁYM posłem, ministrem, europosłem...możemy zacząć odliczanie",positive,negative,positive,positive
jako pracownik wyrażam zaniepokojenie o żołądek mojego pracodawcy....,ambiguous,negative,ambiguous,negative
nie. Po prostu jest czujny:),positive,ambiguous,ambiguous,ambiguous
"Rozmawialiśmy o różnicy między wynikiem a jego przewidywaniami, nie o skali miast.",neutral,neutral,neutral,neutral
"niebo jest tu tak czyste, ze wszystko sie w nim odbija :) — in Marseille, Provence-Alpes-Cote d'Azur, France",positive,positive,positive,positive
