anotacja - Filip,anotacja - Kacper,anotacja - Piotr,anotacja - Szymon
negative,negative,ambiguous,negative
neutral,neutral,neutral,neutral
positive,positive,positive,positive
neutral,ambiguous,neutral,neutral
positive,positive,positive,positive
positive,neutral,positive,positive
negative,negative,negative,negative
negative,negative,negative,negative
positive,positive,neutral,positive
neutral,ambiguous,neutral,positive
negative,negative,negative,negative
negative,negative,negative,negative
positive,positive,positive,positive
ambiguous,ambiguous,ambiguous,ambiguous
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
negative,neutral,negative,negative
ambiguous,neutral,ambiguous,positive
neutral,neutral,neutral,neutral
ambiguous,negative,negative,negative
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral
negative,negative,negative,negative
positive,neutral,neutral,positive
positive,ambiguous,positive,neutral
neutral,neutral,neutral,neutral
positive,positive,positive,positive
positive,positive,positive,positive
negative,negative,negative,negative
positive,positive,positive,positive
ambiguous,ambiguous,ambiguous,ambiguous
negative,neutral,neutral,negative
neutral,neutral,positive,neutral
negative,negative,negative,negative
positive,positive,positive,ambiguous
positive,positive,positive,positive
negative,negative,negative,negative
neutral,neutral,neutral,neutral
positive,positive,positive,positive
negative,negative,negative,negative
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
negative,negative,negative,negative
negative,negative,ambiguous,ambiguous
neutral,ambiguous,neutral,neutral
positive,neutral,positive,positive
positive,positive,positive,positive
neutral,neutral,neutral,positive
neutral,negative,neutral,ambiguous
negative,negative,ambiguous,negative
negative,negative,negative,ambiguous
negative,ambiguous,negative,positive
positive,neutral,neutral,ambiguous
positive,positive,positive,positive
neutral,neutral,neutral,ambiguous
negative,negative,negative,negative
positive,positive,positive,positive
ambiguous,positive,positive,positive
neutral,neutral,neutral,neutral
negative,neutral,positive,positive
negative,negative,negative,negative
ambiguous,neutral,neutral,positive
positive,ambiguous,positive,positive
positive,neutral,positive,positive
ambiguous,negative,negative,negative
positive,neutral,positive,positive
ambiguous,ambiguous,neutral,positive
negative,negative,negative,negative
positive,positive,positive,positive
positive,ambiguous,ambiguous,ambiguous
negative,negative,negative,negative
negative,negative,negative,negative
positive,neutral,positive,positive
neutral,ambiguous,ambiguous,ambiguous
positive,positive,ambiguous,positive
negative,negative,negative,negative
positive,positive,positive,positive
negative,negative,neutral,negative
positive,ambiguous,positive,positive
positive,positive,positive,positive
neutral,neutral,positive,neutral
positive,positive,positive,positive
ambiguous,neutral,ambiguous,neutral
positive,positive,positive,positive
positive,neutral,positive,neutral
neutral,neutral,positive,ambiguous
neutral,neutral,neutral,neutral
ambiguous,negative,ambiguous,ambiguous
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
positive,positive,positive,positive
