label_name,feature_type,C,tol,train_f1_score,val_f1_score
coalitions,scaled,0.1,0.0001,0.9557547689301258,0.46980489663765146
coalitions,scaled,0.1,0.001,0.9557547689301258,0.46980489663765146
coalitions,scaled,0.1,0.01,0.9557547689301258,0.46980489663765146
coalitions,scaled,0.1,0.1,0.9548396434345581,0.46980489663765146
coalitions,scaled,0.25,0.0001,0.9857399698756106,0.46470148347249757
coalitions,scaled,0.25,0.001,0.9857399698756106,0.46470148347249757
coalitions,scaled,0.25,0.01,0.9858316971671057,0.46470148347249757
coalitions,scaled,0.25,0.1,0.9857399698756106,0.4674618603505215
coalitions,scaled,0.5,0.0001,0.9962425418845884,0.4609777988282377
coalitions,scaled,0.5,0.001,0.9962425418845884,0.4609777988282377
coalitions,scaled,0.5,0.01,0.9962425418845884,0.4604353300676838
coalitions,scaled,0.5,0.1,0.9962425418845884,0.46406255233050564
coalitions,scaled,0.75,0.0001,0.9992918750370172,0.4846522645263831
coalitions,scaled,0.75,0.001,0.9992918750370172,0.4846522645263831
coalitions,scaled,0.75,0.01,0.9992918750370172,0.4840275189016374
coalitions,scaled,0.75,0.1,0.999600206373386,0.4862992583445978
coalitions,scaled,1.0,0.0001,1.0,0.48953942980944154
coalitions,scaled,1.0,0.001,1.0,0.48953942980944154
coalitions,scaled,1.0,0.01,1.0,0.48953942980944154
coalitions,scaled,1.0,0.1,1.0,0.4877356780056898
coalitions,original,0.1,0.0001,0.17106921778070605,0.15791996635826727
coalitions,original,0.1,0.001,0.17106921778070605,0.15791996635826727
coalitions,original,0.1,0.01,0.17106921778070605,0.15791996635826727
coalitions,original,0.1,0.1,0.1704328007552652,0.15891541907228435
coalitions,original,0.25,0.0001,0.20333240646209005,0.18980766357765919
coalitions,original,0.25,0.001,0.20333240646209005,0.18980766357765919
coalitions,original,0.25,0.01,0.20343044567777632,0.19062568701763385
coalitions,original,0.25,0.1,0.2031131046864759,0.19070453966066156
coalitions,original,0.5,0.0001,0.23631523282063993,0.2094758666548079
coalitions,original,0.5,0.001,0.23631523282063993,0.2094758666548079
coalitions,original,0.5,0.01,0.23624227162376812,0.2094758666548079
coalitions,original,0.5,0.1,0.2358341329649552,0.2111035582080448
coalitions,original,0.75,0.0001,0.25136481909181513,0.22567915912707304
coalitions,original,0.75,0.001,0.25136481909181513,0.22567915912707304
coalitions,original,0.75,0.01,0.25152476621223147,0.22567915912707304
coalitions,original,0.75,0.1,0.25142819806412947,0.22426574119822865
coalitions,original,1.0,0.0001,0.25658923174107157,0.2354513420607443
coalitions,original,1.0,0.001,0.25658923174107157,0.2354513420607443
coalitions,original,1.0,0.01,0.25650323775928474,0.2354513420607443
coalitions,original,1.0,0.1,0.2562160366190017,0.23607740061462526
coalitions,minmax,0.1,0.0001,0.2795312921941476,0.24134204255076855
coalitions,minmax,0.1,0.001,0.2795312921941476,0.24134204255076855
coalitions,minmax,0.1,0.01,0.2795312921941476,0.24134204255076855
coalitions,minmax,0.1,0.1,0.2794040633701365,0.24047247352330475
coalitions,minmax,0.25,0.0001,0.37276073266543425,0.2593648671166787
coalitions,minmax,0.25,0.001,0.37276073266543425,0.2593648671166787
coalitions,minmax,0.25,0.01,0.37219823443238803,0.2600035468395738
coalitions,minmax,0.25,0.1,0.3732748433289824,0.25939709085888873
coalitions,minmax,0.5,0.0001,0.5499869007421618,0.30702969175748746
coalitions,minmax,0.5,0.001,0.5499869007421618,0.30702969175748746
coalitions,minmax,0.5,0.01,0.5500639152246029,0.30702969175748746
coalitions,minmax,0.5,0.1,0.5461502542932104,0.30700682812119684
coalitions,minmax,0.75,0.0001,0.6324569171761963,0.33901786097534853
coalitions,minmax,0.75,0.001,0.6324569171761963,0.33901786097534853
coalitions,minmax,0.75,0.01,0.6317391567481316,0.33901786097534853
coalitions,minmax,0.75,0.1,0.6313321185702166,0.3352648650077922
coalitions,minmax,1.0,0.0001,0.6817804525049553,0.38019503634484914
coalitions,minmax,1.0,0.001,0.6817804525049553,0.38019503634484914
coalitions,minmax,1.0,0.01,0.6814740732851734,0.36908392523373806
coalitions,minmax,1.0,0.1,0.6820098987906116,0.37924025039006315
parties,scaled,0.1,0.0001,0.8466007516859406,0.22978763569273855
