label_name,feature_type,kernel,C,tol,train_f1_score,val_f1_score
coalitions,scaled,linear,0.1,0.0001,0.9842823616776901,0.4738446643339687
coalitions,scaled,poly,0.1,0.0001,0.15963029992825656,0.11296910358869053
coalitions,scaled,rbf,0.1,0.0001,0.10532542655819599,0.10033538894298386
coalitions,scaled,sigmoid,0.1,0.0001,0.11128215080938313,0.10864502053888472
coalitions,scaled,linear,0.1,0.001,0.9842823616776901,0.4738446643339687
coalitions,scaled,poly,0.1,0.001,0.15963029992825656,0.11296910358869053
coalitions,scaled,rbf,0.1,0.001,0.10532542655819599,0.10033538894298386
coalitions,scaled,sigmoid,0.1,0.001,0.11129848144399915,0.10864502053888472
coalitions,scaled,linear,0.1,0.01,0.9846867094437229,0.47472859306673465
coalitions,scaled,poly,0.1,0.01,0.15963029992825656,0.11296910358869053
coalitions,scaled,rbf,0.1,0.01,0.10532542655819599,0.10033538894298386
coalitions,scaled,sigmoid,0.1,0.01,0.11110570351840628,0.10864502053888472
coalitions,scaled,linear,0.1,0.1,0.9841002316021878,0.4848888923240722
coalitions,scaled,poly,0.1,0.1,0.15961949308728998,0.11296910358869053
coalitions,scaled,rbf,0.1,0.1,0.10573391868707964,0.10033538894298386
coalitions,scaled,sigmoid,0.1,0.1,0.11019121618015973,0.10874695635433887
coalitions,scaled,linear,0.25,0.0001,0.9989025432711708,0.45254853245642035
coalitions,scaled,poly,0.25,0.0001,0.21591448102179628,0.11865163937648948
coalitions,scaled,rbf,0.25,0.0001,0.2095934158670803,0.1831763514417761
coalitions,scaled,sigmoid,0.25,0.0001,0.20630861279759838,0.19066825370127088
coalitions,scaled,linear,0.25,0.001,0.9989025432711708,0.45254853245642035
coalitions,scaled,poly,0.25,0.001,0.21591448102179628,0.11865163937648948
coalitions,scaled,rbf,0.25,0.001,0.2096879657270406,0.1831763514417761
coalitions,scaled,sigmoid,0.25,0.001,0.20630861279759838,0.19005260241488786
coalitions,scaled,linear,0.25,0.01,0.9989025432711708,0.45254853245642035
coalitions,scaled,poly,0.25,0.01,0.21591448102179628,0.11865163937648948
coalitions,scaled,rbf,0.25,0.01,0.2095934158670803,0.1831763514417761
coalitions,scaled,sigmoid,0.25,0.01,0.20641568738526545,0.19005228956904657
coalitions,scaled,linear,0.25,0.1,0.9989025432711708,0.4554728764221977
coalitions,scaled,poly,0.25,0.1,0.21573923951539645,0.11865163937648948
