lr,epoch,val_tweets_f1_score,val_polemo_f1_score,val_wordnet_f1_score
0.1,2,0.3770183808221214,0.615395309683058,0.2738866805706551
0.1,5,0.4136103447002292,0.6437653824069345,0.275925978657928
0.1,7,0.392008049760166,0.6428653877724472,0.2732664739688091
0.1,10,0.3946313958583034,0.6368544780731523,0.266592343527171
0.2,2,0.3803027568739209,0.6268697648345455,0.2782956214453239
0.2,5,0.41376176337954335,0.6458274762666083,0.277595333863581
0.2,7,0.3986752864438623,0.6395161844718393,0.270068751803588
0.2,10,0.4011864028844669,0.6319689440184835,0.2676286945793247
0.3,2,0.41945350495181943,0.630659583226854,0.27723966838080166
0.3,5,0.417200723343798,0.6458481316547879,0.2777438820422323
0.3,7,0.3942311354261819,0.6387552870913163,0.2713642150058935
0.3,10,0.39968146505599966,0.6309241992188683,0.26987588058546874
0.001,200,0.388794587478798,0.6268134980020589,0.273489002536522
0.001,500,0.38755913389246543,0.628177873811528,0.2715465648266453
0.001,700,0.38227328561396495,0.6166818110652954,0.2715022632369054
0.001,1000,0.43540390314477123,0.611622296445314,0.2697947787597617
0.002,200,0.40506749039473294,0.6344908205159918,0.27462371837571764
0.002,500,0.4367630406491897,0.6118171213007259,0.2700023343866229
0.002,700,0.4473696612754103,0.6064573928706499,0.2664756610265699
0.002,1000,0.43043703396851696,0.5979818806754698,0.265827852016882
0.003,200,0.38141735633089724,0.6237797501501479,0.27231455189005677
0.003,500,0.45601565399110233,0.6068883614062748,0.26619093597652094
0.003,700,0.43043703396851696,0.5964969475324847,0.26511772243968545
0.003,1000,0.42312015252393165,0.5879582444993072,0.2683883615072373
